n,m,l,S,mse_full,nonlinear_mse_decrease,pct_nonlinear_mse_decrease
32,8,1,0.95,0.004356432189941406,0.0,0.0
32,8,2,0.85,0.009443683929443359,0.010212952423095703,0.519567653383204
32,8,2,0.9,0.005072648696899414,0.006230436630249024,0.5512155707861801
32,8,2,0.95,0.0013064123725891113,0.0030500198173522945,0.7001187403753247
32,8,3,0.85,0.006245381317138672,0.013411255035400391,0.6822761938956077
32,8,3,0.9,0.0033263549041748046,0.007976730422973633,0.705712660932908
32,8,3,0.95,0.0006730758094787597,0.0036833563804626462,0.8454983848864149
32,8,4,0.85,0.0041646676635742185,0.015491968688964844,0.7881291799430239
32,8,4,0.9,0.002068213195800781,0.009234872131347657,0.8170222434017002
32,8,4,0.95,0.00041453435897827146,0.003941897830963134,0.904845446708572
32,16,1,0.85,0.0034160145568847655,0.0,0.0
32,16,1,0.9,0.0015292465209960937,0.0,0.0
32,16,1,0.95,0.0013683613204956055,0.0,0.0
32,16,2,0.85,0.0012671637535095215,0.002148850803375244,0.6290520041972211
32,16,2,0.9,0.00047096072196960447,0.0010582857990264892,0.6920308691218481
32,16,2,0.95,0.0001438134527206421,0.0012245478677749635,0.8949009661654611
32,16,3,0.85,0.000499811201095581,0.0029162033557891846,0.8536858690814878
32,16,3,0.9,0.00017994518280029298,0.0013493013381958006,0.8823308208783215
32,16,3,0.95,3.768240749835968e-05,0.0013306789129972458,0.9724616539988783
32,16,4,0.85,0.00032470809936523435,0.003091306457519531,0.9049453408473318
32,16,4,0.9,0.00011330633401870728,0.0014159401869773863,0.9259070840031052
32,16,4,0.95,2.3201652765274048e-05,0.0013451596677303316,0.9830442059288328
64,2,1,0.85,0.042218824462890624,0.0,0.0
64,2,1,0.9,0.028906752319335937,0.0,0.0
64,2,1,0.95,0.014877597961425782,0.0,0.0
64,2,2,0.85,0.03694825988769531,0.005270564575195313,0.12483920720786573
64,2,2,0.9,0.023647457885742188,0.005259294433593749,0.18193999711533726
64,2,2,0.95,0.010663566589355468,0.004214031372070314,0.2832467568350977
64,2,3,0.85,0.03130589416503906,0.010912930297851564,0.2584849397558139
64,2,3,0.9,0.020025606689453124,0.008881145629882813,0.3072342936270343
64,2,3,0.95,0.0085659375,0.0063116604614257815,0.4242392137353407
